run_id,paper_title,template,png_path,vlm_primary,vlm_secondary,vlm_guards,human_primary,human_secondary,human_guards,human_notes
44a0517194a2,BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260523_235325_BLIP_Bootstrapping_Language-Im_44a0517194a2/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,overflow_guard,,,,
740bf10310aa,EvoAgentX: An Automated Framework for Evolving Agentic Workflows,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_000135_EvoAgentX_An_Automated_Framewo_740bf10310aa/pptx/iter_1.png,text_overload,visual_hierarchy_weak;space_imbalance,overflow_guard,,,,
7f47fa98fa57,Tree Search for LLM Agent Reinforcement Learning,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_000952_Tree_Search_for_LLM_Agent_Rein_7f47fa98fa57/pptx/iter_1.png,visual_hierarchy_weak,text_overload;asset_utilization_error,,,,,
62313c0224ea,INSIDE: LLMS’ INTERNAL STATES RETAIN THE POWER OF HALLUCINATION DETECTION,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_001838_INSIDE_LLMS’_INTERNAL_STATES_R_62313c0224ea/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,,,,,
40b6e9fe7020,Automated Evaluation of Personalized Text Generation using Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_002629_Automated_Evaluation_of_Person_40b6e9fe7020/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,,,,,
3907b9d59be3,BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_005404_BLIP_Bootstrapping_Language-Im_3907b9d59be3/pptx/iter_1.png,text_overload,visual_hierarchy_weak;space_imbalance,overflow_guard,,,,
c9dd5cc03f4f,BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_005719_BLIP_Bootstrapping_Language-Im_c9dd5cc03f4f/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,overflow_guard,,,,
637c548e7e5b,EvoAgentX: An Automated Framework for Evolving Agentic Workflows,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_005719_EvoAgentX_An_Automated_Framewo_637c548e7e5b/pptx/iter_1.png,text_overload,visual_hierarchy_weak;space_imbalance,overflow_guard,,,,
91ea16c8714d,Tree Search for LLM Agent Reinforcement Learning,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_005937_Tree_Search_for_LLM_Agent_Rein_91ea16c8714d/pptx/iter_1.png,visual_hierarchy_weak,text_overload;asset_utilization_error,,,,,
1c72b772bccb,INSIDE: LLMS’ INTERNAL STATES RETAIN THE POWER OF HALLUCINATION DETECTION,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_005951_INSIDE_LLMS’_INTERNAL_STATES_R_1c72b772bccb/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,,,,,
b04f77b6c9d7,Automated Evaluation of Personalized Text Generation using Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260524_010201_Automated_Evaluation_of_Person_b04f77b6c9d7/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,,,,,
20c9c0343600,Test-Time Preference Optimization: On-the-Fly Alignment via Iterative Textual Feedback,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_043121_Test-Time_Preference_Optimizat_20c9c0343600/pptx/iter_1.png,text_overload,visual_hierarchy_weak;structure_alignment_error,overflow_guard,,,,
a2ff21dc2919,"A Comprehensive Survey of Reward Models: Taxonomy, Applications, Challenges, and Future",template_minimal,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_043645_A_Comprehensive_Survey_of_Rewa_a2ff21dc2919/pptx/iter_1.png,visual_hierarchy_weak,text_overload;space_imbalance,,,,,
3fdda15fffcb,"Seeing, Listening, Remembering, and Reasoning: A Multimodal Agent with Long-Term Memory",template_classic,"/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_050811_Seeing,_Listening,_Remembering_3fdda15fffcb/pptx/iter_1.png",visual_hierarchy_weak,text_overload;asset_utilization_error,,,,,
53730e3ca04c,MLP Memory: A Retriever-Pretrained Memory for Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_063732_MLP_Memory_A_Retriever-Pretrai_53730e3ca04c/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,,,,,
23f1b1738c14,Generalist Reward Models: Found Inside Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_063953_Generalist_Reward_Models_Found_23f1b1738c14/pptx/iter_1.png,text_overload,visual_hierarchy_weak;structure_alignment_error,,,,,
0479973b234d,From Efficiency to Adaptivity: A Deeper Look at Adaptive Reasoning in Large Language Models,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_094944_From_Efficiency_to_Adaptivity__0479973b234d/pptx/iter_1.png,text_overload,visual_hierarchy_weak;structure_alignment_error,,,,,
665d193ec141,Teaching Language Models to Critique via Reinforcement Learning,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_140443_Teaching_Language_Models_to_Cr_665d193ec141/pptx/iter_1.png,text_overload,visual_hierarchy_weak;space_imbalance,,,,,
da638e0471a6,LeanRAG: Knowledge-Graph-Based Generation with Semantic Aggregation and Hierarchical Retrieval,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_141028_LeanRAG_Knowledge-Graph-Based__da638e0471a6/pptx/iter_1.png,asset_utilization_error,text_overload;visual_hierarchy_weak,,,,,
8b3a6577a64a,Evaluating LLM Agent Personality and Response Appropriateness,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_145247_Evaluating_LLM_Agent_Personali_8b3a6577a64a/pptx/iter_1.png,text_overload,visual_hierarchy_weak;space_imbalance,,,,,
d346898900a2,Chain-of-Thought Prompting Obscures Hallucination Cues in Large Language Models: An Empirical Evaluation,template_storyflow,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_150254_Chain-of-Thought_Prompting_Obs_d346898900a2/pptx/iter_1.png,text_overload,visual_hierarchy_weak;space_imbalance,,,,,
adc7a9cc1a30,One SPACE to Rule Them All: Jointly Mitigating Factuality and Faithfulness Hallucinations in LLMs,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_151027_One_SPACE_to_Rule_Them_All_Joi_adc7a9cc1a30/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,,,,,
4d25d476b1fe,Revisiting Hallucination Detection with Effective Rank-based Uncertainty,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_151419_Revisiting_Hallucination_Detec_4d25d476b1fe/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,,,,,
6b121d972fea,Know Your Limits: A Survey of Abstention in Large Language Models,template_dashboard,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_151717_Know_Your_Limits_A_Survey_of_A_6b121d972fea/pptx/iter_1.png,text_overload,visual_hierarchy_weak;space_imbalance,overflow_guard,,,,
c1e8b5acfe13,Expanding RL with Verifiable Rewards Across Diverse Domains,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_152043_Expanding_RL_with_Verifiable_R_c1e8b5acfe13/pptx/iter_1.png,asset_utilization_error,text_overload;visual_hierarchy_weak,,,,,
b112fe8cae47,Is Chain-of-Thought Reasoning of LLMs a Mirage? A Data Distribution Lens,template_classic,/Users/mikaelsnow/Documents/ECNU/Paper_Comment_Poster/poster_agent_backend/outputs/runs/20260525_160129_Is_Chain-of-Thought_Reasoning__b112fe8cae47/pptx/iter_1.png,text_overload,visual_hierarchy_weak;asset_utilization_error,,,,,
